   reference_date  liquidity_momentum_v  avg_balance_t2  Default_Probability  Is_Distressed
0      2021-08-16              0.082587    52456.664311                 64.7           True
1      2021-08-23              0.095815    54100.112816                 60.7           True
2      2021-08-30              0.100270    52414.781754                 56.0           True
3      2021-09-06              0.019112    52208.894424                 47.0           True
4      2021-09-13              0.006203    52748.222242                 46.7           True
5      2021-09-20              0.055483    55552.883333                 62.3           True
6      2021-09-27              0.128790    58215.248106                 55.1           True
7      2021-10-04              0.137591    58393.333091                 68.6           True
8      2021-10-11              0.131427    58626.115000                 67.6           True
9      2021-10-18              0.117759    58986.526502                 60.6           True
10     2021-10-25              0.128527    59279.712721                 66.7           True
11     2021-11-01              0.176482    59483.270979                 59.5           True
12     2021-11-08              0.166118    59888.217857                 56.5           True
13     2021-11-15              0.124240    59526.992599                 58.2           True
14     2021-11-22              0.098124    59217.363636                 58.1           True
15     2021-11-29              0.158342    57239.940625                 58.6           True
16     2021-12-06              0.081495    56625.740000                 61.1           True
17     2021-12-13              0.047395    55762.842258                 55.3           True
18     2021-12-20             -0.039407    53266.082399                 46.2           True
19     2021-12-27              0.008127    56597.059077                 59.4           True
20     2022-01-03             -0.033343    56420.369132                 36.3          False
21     2022-01-10             -0.020726    57327.613735                 41.6          False
22     2022-01-17             -0.044749    56285.421739                 41.0          False
23     2022-01-24             -0.063752    55371.542391                 41.8          False
24     2022-01-31             -0.134281    52008.052786                 36.3          False
25     2022-02-07             -0.110897    53232.388938                 45.7          False
26     2022-02-14             -0.127449    51727.798580                 42.5          False
27     2022-02-21             -0.149245    50038.982394                 52.7           True
28     2022-02-28             -0.141817    49311.146111                 66.2           True
29     2022-03-07             -0.111735    50165.104348                 71.8           True
30     2022-03-14             -0.096833    49877.911622                 76.0           True
31     2022-03-21             -0.056279    50018.316298                 65.2           True
32     2022-03-28             -0.193539    45795.643188                 69.3           True
33     2022-04-04             -0.229480    43472.901316                 74.3           True
34     2022-04-11             -0.260931    41808.911413                 68.4           True
35     2022-04-18             -0.246214    42074.408654                 67.2           True
36     2022-04-25             -0.235778    41846.958696                 66.0           True
37     2022-05-02             -0.280285    38442.545706                 70.9           True
38     2022-05-09             -0.237547    39820.081977                 57.1           True
39     2022-05-16             -0.191496    41106.054839                 61.2           True
40     2022-05-23             -0.134989    42666.724564                 72.1           True
41     2022-05-30             -0.221988    39108.923145                 67.5           True
42     2022-06-06             -0.186964    40670.634105                 61.0           True
43     2022-06-13             -0.147224    42085.720923                 69.8           True
44     2022-06-20             -0.141799    42835.838298                 72.0           True
45     2022-06-27             -0.023864    43568.644000                 60.7           True
46     2022-07-04              0.028120    42613.216458                 57.2           True
47     2022-07-11              0.034274    42955.302475                 56.2           True
48     2022-07-18              0.030667    43639.040063                 56.2           True
49     2022-07-25              0.113766    45944.435099                 68.6           True
