iter	Logloss
0	0.6706988589
1	0.6533926843
2	0.6407451326
3	0.6254145057
4	0.6152987305
5	0.604432471
6	0.5913811498
7	0.580544997
8	0.5726791067
9	0.5662957271
10	0.560775212
11	0.5551177865
12	0.5504698731
13	0.5458989084
14	0.5395836409
15	0.5357302289
16	0.5299624231
17	0.5262605059
18	0.5222388158
19	0.5179582813
20	0.5149448323
21	0.5126319319
22	0.5089610295
23	0.5054070199
24	0.5039097154
25	0.5011604352
26	0.498894103
27	0.4972971597
28	0.4953578565
29	0.4926493532
30	0.4911255212
31	0.4892363212
32	0.4877376112
33	0.4852808645
34	0.4847270169
35	0.4835541672
36	0.4822286507
37	0.4813965006
38	0.4801653856
39	0.478711447
40	0.4775704293
41	0.4767137396
42	0.4756587431
43	0.4743877163
44	0.4734862178
45	0.4726336723
46	0.4715247326
47	0.4703509889
48	0.4690881865
49	0.468201895
50	0.4674429172
51	0.4669986486
52	0.4663177184
53	0.4656314942
54	0.4648665565
55	0.4643110932
56	0.4635208664
57	0.4624832338
58	0.4616567224
59	0.4608182395
60	0.4599241233
61	0.4592514315
62	0.4586312223
63	0.4579115273
64	0.4574238814
65	0.4566383394
66	0.456129073
67	0.4555542386
68	0.4550345498
69	0.4546359147
70	0.4541548768
71	0.4531654827
72	0.4528236564
73	0.4524111465
74	0.4520429311
75	0.4514563617
76	0.4504763519
77	0.4500689985
78	0.4496107531
79	0.4492192444
80	0.4490706892
81	0.4486120916
82	0.4482822609
83	0.4481397088
84	0.447429603
85	0.4466649351
86	0.4462968949
87	0.4458380175
88	0.4453245831
89	0.4449236884
90	0.4446001239
91	0.4439854909
92	0.4438028267
93	0.442895879
94	0.4423131831
95	0.4415670034
96	0.4411503121
97	0.4407126939
98	0.4403365075
99	0.4402621717
100	0.4397782775
101	0.4389676712
102	0.4384904045
103	0.4380956451
104	0.4375457954
105	0.4370320952
106	0.4368818299
107	0.4363472339
108	0.435961993
109	0.4356257758
110	0.435420829
111	0.4351620936
112	0.4343051706
113	0.4340557129
114	0.4339624694
115	0.4339195797
116	0.4336256665
117	0.4331296417
118	0.4326193709
119	0.4322347758
120	0.4319856948
121	0.4315416857
122	0.4311759446
123	0.4305877759
124	0.4305359298
125	0.4304174561
126	0.4300503298
127	0.4297346363
128	0.4288110725
129	0.4285852084
130	0.4284245257
131	0.4280010875
132	0.4276506515
133	0.4274242338
134	0.4270693416
135	0.4264951436
136	0.4261373233
137	0.4257032827
138	0.4254280207
139	0.425053045
140	0.4248541119
141	0.4243757786
142	0.4241254631
143	0.4238019208
144	0.423407408
145	0.4229647404
146	0.422609236
147	0.4222211827
148	0.4217604899
149	0.4215441288
150	0.4213463043
151	0.4210273576
152	0.4206693389
153	0.4204223965
154	0.4199768345
155	0.4195153693
156	0.4191678024
157	0.4189762745
158	0.4186851029
159	0.4183101064
160	0.4180308621
161	0.4177909912
162	0.4174976285
163	0.4172906663
164	0.4169294353
165	0.4163957158
166	0.4160961533
167	0.4158905705
168	0.4153780606
169	0.4148287087
170	0.4145780373
171	0.4143326538
172	0.4138171213
173	0.4136871676
174	0.4134424472
175	0.4131974368
176	0.4127711929
177	0.4122252388
178	0.4117595844
179	0.4111140709
180	0.4106590616
181	0.4103839009
182	0.4098192256
183	0.4093390367
184	0.4089111738
185	0.4084572141
186	0.4077321292
187	0.4074753006
188	0.4071181341
189	0.4067615758
190	0.4065305337
191	0.4061877965
192	0.4057154462
193	0.4051206876
194	0.4046903805
195	0.4042814494
196	0.4040187074
197	0.4037284168
198	0.4034544391
199	0.4028054274
200	0.4021879272
201	0.4015357593
202	0.4010862587
203	0.4007314791
204	0.4000650649
205	0.3995864666
206	0.3991805377
207	0.3987874343
208	0.3984612748
209	0.3981337348
210	0.3973146662
211	0.3970195818
212	0.3965927507
213	0.3959866529
214	0.3956751151
215	0.3951669348
216	0.3948184341
217	0.3945344173
218	0.3943463757
219	0.3941054675
220	0.393848366
221	0.3933884817
222	0.3923863335
223	0.392139759
224	0.3919509638
225	0.3916313146
226	0.3911976868
227	0.3901734874
228	0.3900033086
229	0.3894901026
230	0.3888885877
231	0.3883174236
232	0.3876766644
233	0.3870547897
234	0.3862559261
235	0.3858095454
236	0.3853731871
237	0.3849741604
238	0.3842360653
239	0.3838015153
240	0.3833557768
241	0.3829538199
242	0.3824513096
243	0.3820129872
244	0.3815587578
245	0.3809069567
246	0.3803375605
247	0.3797628266
248	0.3794218691
249	0.3789087543
250	0.3785303824
251	0.3781700398
252	0.3778946489
253	0.3773701708
254	0.3768638001
255	0.3763827501
256	0.3756551729
257	0.3752881493
258	0.3748697118
259	0.3743950385
260	0.3739140998
261	0.3735718476
262	0.3731879831
263	0.3723315537
264	0.3718404423
265	0.3714675309
266	0.3710914914
267	0.3705663123
268	0.3701666686
269	0.3698684678
270	0.3695073874
271	0.3688910527
272	0.3681878745
273	0.3676870664
274	0.3673918838
275	0.3670840041
276	0.3666481538
277	0.3663187138
278	0.3657647315
279	0.3653551855
280	0.3649031964
281	0.3645306111
282	0.3642410246
283	0.3637843955
284	0.3633215272
285	0.362917637
286	0.3624603162
287	0.3621036259
288	0.3619600601
289	0.3614400728
290	0.3610492926
291	0.3604730807
292	0.3602234604
293	0.3598109205
294	0.3594774624
295	0.3588582667
296	0.3584758976
297	0.3580790646
298	0.3578425124
299	0.3572926253
