iter	Passed	Remaining
0	2	797
1	5	750
2	7	760
3	10	811
4	15	908
5	18	902
6	21	890
7	24	884
8	27	883
9	30	879
10	33	876
11	36	869
12	39	865
13	42	866
14	45	862
15	48	855
16	51	849
17	53	840
18	57	843
19	60	840
20	62	834
21	65	830
22	68	825
23	72	833
24	75	829
25	78	828
26	81	824
27	84	819
28	89	838
29	93	841
30	96	840
31	99	832
32	101	824
33	104	819
34	107	812
35	110	806
36	112	800
37	115	793
38	118	790
39	121	789
40	124	789
41	128	789
42	132	789
43	135	790
44	138	787
45	141	783
46	144	778
47	147	773
48	151	773
49	153	769
50	157	766
51	159	761
52	161	754
53	164	748
54	168	748
55	171	746
56	174	742
57	176	738
58	179	732
59	182	730
60	185	725
61	187	720
62	190	715
63	192	709
64	195	705
65	197	700
66	200	696
67	202	690
68	205	686
69	207	681
70	209	676
71	212	671
72	214	666
73	217	663
74	219	658
75	222	655
76	224	650
77	227	646
78	229	642
79	232	638
80	234	634
81	237	630
82	239	626
83	242	622
84	244	618
85	247	615
86	249	611
87	252	608
88	254	604
89	257	600
90	259	595
91	262	592
92	264	588
93	267	585
94	269	582
95	272	579
96	274	575
97	277	571
98	280	569
99	282	565
100	286	563
101	288	560
102	291	557
103	296	558
104	299	555
105	301	552
106	304	548
107	306	545
108	310	543
109	313	541
110	315	537
111	318	534
112	321	531
113	323	528
114	327	526
115	330	523
116	333	521
117	336	518
118	338	514
119	342	513
120	345	510
121	347	507
122	350	504
123	353	501
124	356	499
125	360	497
126	363	495
127	366	492
128	368	488
129	371	485
130	375	483
131	377	480
132	380	478
133	383	475
134	386	472
135	389	470
136	392	467
137	395	464
138	398	461
139	400	458
140	403	455
141	406	452
142	409	449
143	412	447
144	415	444
145	418	441
146	421	439
147	424	436
148	427	433
149	430	430
150	433	427
151	436	424
152	439	421
153	441	418
154	444	415
155	447	412
156	450	410
157	454	408
158	458	406
159	462	404
160	465	401
161	471	401
162	474	398
163	476	395
164	479	392
165	481	388
166	485	386
167	488	384
168	491	380
169	494	378
170	497	375
171	501	373
172	504	370
173	506	367
174	509	363
175	511	360
176	514	357
177	517	354
178	520	351
179	522	348
180	524	345
181	527	341
182	529	338
183	532	335
184	534	332
185	537	329
186	539	326
187	542	323
188	545	320
189	548	317
190	550	314
191	553	311
192	555	308
193	558	305
194	560	301
195	563	299
196	566	296
197	568	293
198	571	290
199	573	286
200	576	283
201	578	280
202	582	278
203	584	275
204	587	272
205	589	269
206	591	265
207	594	262
208	597	260
209	599	257
210	602	253
211	604	250
212	606	247
213	609	244
214	613	242
215	616	239
216	618	236
217	621	233
218	623	230
219	626	227
220	628	224
221	631	221
222	633	218
223	636	215
224	638	212
225	641	209
226	644	207
227	646	204
228	649	201
229	651	198
230	654	195
231	656	192
232	659	189
233	662	186
234	664	183
235	667	180
236	669	178
237	672	175
238	674	172
239	677	169
240	680	166
241	682	163
242	685	160
243	687	157
244	690	154
245	692	152
246	695	149
247	697	146
248	700	143
249	702	140
250	705	137
251	708	134
252	710	132
253	713	129
254	715	126
255	718	123
256	720	120
257	723	117
258	727	115
259	729	112
260	731	109
261	734	106
262	736	103
263	741	101
264	743	98
265	746	95
266	748	92
267	751	89
268	755	87
269	757	84
270	760	81
271	762	78
272	765	75
273	767	72
274	770	70
275	772	67
276	775	64
277	777	61
278	780	58
279	782	55
280	784	53
281	787	50
282	790	47
283	793	44
284	795	41
285	798	39
286	800	36
287	803	33
288	805	30
289	808	27
290	810	25
291	813	22
292	816	19
293	818	16
294	821	13
295	824	11
296	826	8
297	829	5
298	831	2
299	834	0
